244,246,245,245,246,242,248,244,245,249
237,10,225,7,223,7,19,244,9,233
254,236,32,9,33,241,232,206,21,237
218,30,206,253,31,3,223,6,239,11
239,241,252,31,3,250,232,3,192,7
221,255,22,252,221,10,217,244,9,250
9,250,15,226,250,6,218,26,213,10
19,21,231,8,29,214,234,219,13,245
35,231,243,17,231,37,242,226,239,245
7,240,246,203,252,223,246,16,40,1
237,221,12,25,4,226,24,231,6,236
17,210,215,6,11,17,231,22,11,228
230,223,8,242,17,12,9,35,241,212
21,26,9,215,250,34,244,224,243,221
22,6,40,16,229,238,15,224,224,229
28,29,217,248,254,248,34,250,209,241
252,217,230,245,245,16,9,219,10,14
232,242,19,230,18,232,7,209,238,19
18,251,237,3,21,219,236,16,12,226
2,223,227,252,51,5,255,213,9,6
250,235,226,28,221,250,24,236,224,28
246,14,251,21,214,221,238,30,10,234
254,5,4,214,204,5,244,237,29,14
220,37,239,255,226,237,1,250,252,252
245,217,16,223,242,230,27,11,234,20
235,23,248,233,40,243,27,222,222,235
